state,parlimen,poverty_incidence
Perlis,P.001 Padang Besar,5.7
Perlis,P.002 Kangar,4.2
Perlis,P.003 Arau,1.4
Kedah,P.004 Langkawi,0.9
Kedah,P.005 Jerlun,6.7
Kedah,P.006 Kubang Pasu,4.3
Kedah,P.007 Padang Terap,9.1
Kedah,P.008 Pokok Sena,6.8
Kedah,P.009 Alor Setar,4.9
Kedah,P.010 Kuala Kedah,7.3
Kedah,P.011 Pendang,8.1
Kedah,P.012 Jerai,14.9
Kedah,P.013 Sik,7.6
Kedah,P.014 Merbok,11.1
Kedah,P.015 Sungai Petani,9.2
Kedah,P.016 Baling,17.9
Kedah,P.017 Padang Serai,9.5
Kedah,P.018 Kulim-Bandar Baharu,9.8
Kelantan,P.019 Tumpat,12.5
Kelantan,P.020 Pengkalan Chepa,8.6
Kelantan,P.021 Kota Bharu,7.4
Kelantan,P.022 Pasir Mas,10
Kelantan,P.023 Rantau Panjang,16.2
Kelantan,P.024 Kubang Kerian,10.1
Kelantan,P.025 Bachok,13.1
Kelantan,P.026 Ketereh,11.2
Kelantan,P.027 Tanah Merah,10.6
Kelantan,P.028 Pasir Puteh,12.7
Kelantan,P.029 Machang,7.1
Kelantan,P.030 Jeli,18.9
Kelantan,P.031 Kuala Krai,22.4
Kelantan,P.032 Gua Musang,18.7
Terengganu,P.033 Besut,9.5
Terengganu,P.034 Setiu,9.3
Terengganu,P.035 Kuala Nerus,3.8
Terengganu,P.036 Kuala Terengganu,3.3
Terengganu,P.037 Marang,7.5
Terengganu,P.038 Hulu Terengganu,7.8
Terengganu,P.039 Dungun,5.2
Terengganu,P.040 Kemaman,4.6
Pulau Pinang,P.041 Kepala Batas,5
Pulau Pinang,P.042 Tasek Gelugor,4.1
Pulau Pinang,P.043 Bagan,3.4
Pulau Pinang,P.044 Permatang Pauh,6.1
Pulau Pinang,P.045 Bukit Mertajam,1.3
Pulau Pinang,P.046 Batu Kawan,0.6
Pulau Pinang,P.047 Nibong Tebal,2.5
Pulau Pinang,P.048 Bukit Bendera,0
Pulau Pinang,P.049 Tanjong,1.5
Pulau Pinang,P.050 Jelutong,1.3
Pulau Pinang,P.051 Bukit Gelugor,0.2
Pulau Pinang,P.052 Bayan Baru,0.8
Pulau Pinang,P.053 Balik Pulau,0.7
Perak,P.054 Gerik,8.9
Perak,P.055 Lenggong,17.5
Perak,P.056 Larut,7.4
Perak,P.057 Parit Buntar,8
Perak,P.058 Bagan Serai,4.3
Perak,P.059 Bukit Gantang,12.9
Perak,P.060 Taiping,4.9
Perak,P.061 Padang Rengas,5.9
Perak,P.062 Sungai Siput,16.7
Perak,P.063 Tambun,5.6
Perak,P.064 Ipoh Timor,1.9
Perak,P.065 Ipoh Barat,5.6
Perak,P.066 Batu Gajah,7.3
Perak,P.067 Kuala Kangsar,7.3
Perak,P.068 Beruas,8.9
Perak,P.069 Parit,6.2
Perak,P.070 Kampar,7.6
Perak,P.071 Gopeng,4.4
Perak,P.072 Tapah,9
Perak,P.073 Pasir Salak,18.9
Perak,P.074 Lumut,4.7
Perak,P.075 Bagan Datuk,6.3
Perak,P.076 Teluk Intan,10.3
Perak,P.077 Tanjong Malim,8.3
Pahang,P.078 Cameron Highlands,1.7
Pahang,P.079 Lipis,5.6
Pahang,P.080 Raub,4.4
Pahang,P.081 Jerantut,9.6
Pahang,P.082 Indera Mahkota,2
Pahang,P.083 Kuantan,1.1
Pahang,P.084 Paya Besar,1.2
Pahang,P.085 Pekan,6.5
Pahang,P.086 Maran,8.6
Pahang,P.087 Kuala Krau,4.9
Pahang,P.088 Temerloh,6.1
Pahang,P.089 Bentong,3.4
Pahang,P.090 Bera,2.8
Pahang,P.091 Rompin,6.7
Selangor,P.092 Sabak Bernam,7.7
Selangor,P.093 Sungai Besar,2.7
Selangor,P.094 Hulu Selangor,1.5
Selangor,P.095 Tanjong Karang,7.2
Selangor,P.096 Kuala Selangor,3.1
Selangor,P.097 Selayang,0.6
Selangor,P.098 Gombak,0.3
Selangor,P.099 Ampang,1.1
Selangor,P.100 Pandan,0.3
Selangor,P.101 Hulu Langat,0.9
Selangor,P.102 Bangi,0.4
Selangor,P.103 Puchong,2.1
Selangor,P.104 Subang,0.3
Selangor,P.105 Petaling Jaya,1.1
Selangor,P.106 Damansara,0.6
Selangor,P.107 Sungai Buloh,1.6
Selangor,P.108 Shah Alam,0.3
Selangor,P.109 Kapar,2.8
Selangor,P.110 Klang,1.4
Selangor,P.111 Kota Raja,1.7
Selangor,P.112 Kuala Langat,2.6
Selangor,P.113 Sepang,0.7
Negeri Sembilan,P.126 Jelebu,6.2
Negeri Sembilan,P.127 Jempol,5.8
Negeri Sembilan,P.128 Seremban,4.5
Negeri Sembilan,P.129 Kuala Pilah,8.3
Negeri Sembilan,P.130 Rasah,1.8
Negeri Sembilan,P.131 Rembau,4.2
Negeri Sembilan,P.132 Port Dickson,4.3
Negeri Sembilan,P.133 Tampin,4.8
Melaka,P.134 Masjid Tanah,5.2
Melaka,P.135 Alor Gajah,2.9
Melaka,P.136 Tangga Batu,5.9
Melaka,P.137 Hang Tuah Jaya,4.3
Melaka,P.138 Kota Melaka,2.9
Melaka,P.139 Jasin,2.7
Johor,P.140 Segamat,2.6
Johor,P.141 Sekijang,3.4
Johor,P.142 Labis,2.4
Johor,P.143 Pagoh,6.9
Johor,P.144 Ledang,3.2
Johor,P.145 Bakri,3.4
Johor,P.146 Muar,4.2
Johor,P.147 Parit Sulong,5.2
Johor,P.148 Ayer Hitam,2.7
Johor,P.149 Sri Gading,2.3
Johor,P.150 Batu Pahat,2.5
Johor,P.151 Simpang Renggam,9.9
Johor,P.152 Kluang,3.6
Johor,P.153 Sembrong,5.4
Johor,P.154 Mersing,12.1
Johor,P.155 Tenggara,5.1
Johor,P.156 Kota Tinggi,9.7
Johor,P.157 Pengerang,4.4
Johor,P.158 Tebrau,3.7
Johor,P.159 Pasir Gudang,4.9
Johor,P.160 Johor Bahru,3.4
Johor,P.161 Pulai,1.1
Johor,P.162 Iskandar Puteri,2.4
Johor,P.163 Kulai,4.2
Johor,P.164 Pontian,4.9
Johor,P.165 Tanjung Piai,6.6
Sabah,P.167 Kudat,47
Sabah,P.168 Kota Marudu,44.2
Sabah,P.169 Kota Belud,34.1
Sabah,P.170 Tuaran,16.3
Sabah,P.171 Sepanggar,9.8
Sabah,P.172 Kota Kinabalu,1.6
Sabah,P.173 Putatan,11.7
Sabah,P.174 Penampang,4.2
Sabah,P.175 Papar,12.1
Sabah,P.176 Kimanis,18.4
Sabah,P.177 Beaufort,28
Sabah,P.178 Sipitang,10.4
Sabah,P.179 Ranau,26.8
Sabah,P.180 Keningau,14.7
Sabah,P.181 Tenom,17.2
Sabah,P.182 Pensiangan,31.1
Sabah,P.183 Beluran,43.3
Sabah,P.184 Libaran,20.2
Sabah,P.185 Batu Sapi,13.7
Sabah,P.186 Sandakan,16.8
Sabah,P.187 Kinabatangan,41.7
Sabah,P.188 Lahad Datu,19.9
Sabah,P.189 Semporna,31.5
Sabah,P.190 Tawau,13.5
Sabah,P.191 Kalabakan,14.8
Sarawak,P.192 Mas Gading,9.5
Sarawak,P.193 Santubong,11.7
Sarawak,P.194 Petra Jaya,6.1
Sarawak,P.195 Bandar Kuching,4.3
Sarawak,P.196 Stampin,3
Sarawak,P.197 Kota Samarahan,7.7
Sarawak,P.198 Puncak Borneo,11
Sarawak,P.199 Serian,20.8
Sarawak,P.200 Batang Sadong,18.4
Sarawak,P.201 Batang Lupar,28.4
Sarawak,P.202 Sri Aman,9.3
Sarawak,P.203 Lubok Antu,8.8
Sarawak,P.204 Betong,23
Sarawak,P.205 Saratok,17.6
Sarawak,P.206 Tanjong Manis,14.8
Sarawak,P.207 Igan,21.8
Sarawak,P.208 Sarikei,9.1
Sarawak,P.209 Julau,18.1
Sarawak,P.210 Kanowit,21.9
Sarawak,P.211 Lanang,10.8
Sarawak,P.212 Sibu,4
Sarawak,P.213 Mukah,10.3
Sarawak,P.214 Selangau,11.1
Sarawak,P.215 Kapit,4.7
Sarawak,P.216 Hulu Rajang,6.1
Sarawak,P.217 Bintulu,2.4
Sarawak,P.218 Sibuti,7.9
Sarawak,P.219 Miri,4
Sarawak,P.220 Baram,14.4
Sarawak,P.221 Limbang,11
Sarawak,P.222 Lawas,14.6
W.P. Kuala Lumpur,P.114 Kepong,0
W.P. Kuala Lumpur,P.115 Batu,0.3
W.P. Kuala Lumpur,P.116 Wangsa Maju,0
W.P. Kuala Lumpur,P.117 Segambut,0
W.P. Kuala Lumpur,P.118 Setiawangsa,0.3
W.P. Kuala Lumpur,P.119 Titiwangsa,0.5
W.P. Kuala Lumpur,P.120 Bukit Bintang,0
W.P. Kuala Lumpur,P.121 Lembah Pantai,0
W.P. Kuala Lumpur,P.122 Seputeh,0.5
W.P. Kuala Lumpur,P.123 Cheras,0.2
W.P. Kuala Lumpur,P.124 Bandar Tun Razak,0
W.P. Putrajaya,P.125 Putrajaya,0.4
W.P. Labuan,P.166 Labuan,3.1
